"slope" "angle" "top.layer3" "bot.layer3" "vs2" "vs3" "vs4" "density" "freq" "y.hat.Combined" "Quant.Combined" "LL.Combined" "UL.Combined" "y.hat.single" "LL.single" "UL.single" "y.hat.CGP" "LL.CGP" "UL.CGP" "y.true"
"19" -1.05860059981555 -1.47658061452627 1.46363536636178 1.66244737082103 -0.0901996890712425 -0.274181154638089 0.853305533091084 -0.874452383573074 -0.465883369355819 4.48708488711314 0.495 -1.17372298696556 10.7568904899429 6.01172580363187 0.76592031114296 11.2575312961208 7.3126257086824 4.3694827980346 10.2557686193302 3.90902255033693
"20" -1.05860059981555 -1.47658061452627 1.46363536636178 -1.41734706373742 -0.117773151530927 -0.352038339562748 0.587271072267675 0.344806377683303 0.267098646622499 4.38783849873713 0.499 -0.980335642101095 9.73736425740288 1.8885313422334 -1.64569008955515 5.42275277402196 2.52936309766527 0.849185157874784 4.20954103745575 2.9847983559384
"26" -1.05860059981555 0.971635948418841 1.46363536636178 1.27747306650122 -0.0764129578414003 0.635332323799975 -0.702996062725858 -0.264823002944885 -0.465883369355819 3.47989516439165 0.505 -1.81151848923178 8.8262775779446 6.7659116354422 4.27506751516327 9.25675575572113 4.76798201589635 2.76756002672087 6.76840400507183 4.8393317074703
"27" -1.05860059981555 0.359581807682563 1.46363536636178 0.122550153541805 -0.0350527641518737 -1.00674648552011 -0.869267600740489 -1.48408176420126 -1.19886538533414 5.56685844940448 0.503 -0.0631796711104581 10.729768988032 5.2666402810037 1.97040907604089 8.56287148596652 5.93187595015457 3.60102189502808 8.26273000528106 0.739268711780998
"33" -1.05860059981555 -0.558499403421853 -1.46071101997545 -1.03237275941761 0.61292360365071 0.815819434307139 1.4784865160261 0.954435758311492 0.267098646622499 3.55208465629581 0.529 -2.43469752626598 9.5005303744622 4.11948322764276 1.74310371653797 6.49586273874756 1.930258618314 -1.20845928796334 5.06897652459135 3.90120458630118
"34" -1.05860059981555 -0.558499403421853 -0.875841742708 1.27747306650122 0.578456775576105 0.918449359889644 1.16589602455859 -0.264823002944885 0.267098646622499 4.15795351900327 0.488 -1.12122156758101 9.88253078841337 4.05278709106929 2.23729036491382 5.86828381722477 2.12275970406751 -0.577090320324757 4.82260972845978 3.4255468001007
"36" -1.05860059981555 -1.47658061452627 -1.46071101997545 0.122550153541805 0.592243506805947 -0.950123078302175 0.600572795308846 0.954435758311492 0.267098646622499 3.22564288164668 0.522 -2.89234877775804 9.107264769878 1.05217753800771 -2.31231931257387 4.4166743885893 0.696198529707054 -1.99859313319946 3.39099019261357 2.16076531449216
"37" -1.05860059981555 0.971635948418841 -1.46071101997545 -0.647398455097806 0.481949656967209 0.426533509683843 0.347840057526607 -0.874452383573074 2.46604469455745 2.65358629337519 0.509 -3.01081763932614 9.00715604274096 2.7144200397065 -1.07337658298667 6.50221666239968 0.630426252007868 -3.12798039288356 4.3888328968993 0.399419705319921
"38" -1.05860059981555 0.971635948418841 -0.875841742708 0.50752445786161 0.447482828892604 0.274358102785646 0.108409042785539 1.56406513893968 2.46604469455745 2.32377538949717 0.503 -3.76138181743717 7.75655082989578 2.03839008835401 -3.29029001961806 7.36707019632609 -1.42004153683159 -6.36123642051317 3.52115334684998 0.599625840390127
"42" -1.05860059981555 0.971635948418841 -0.875841742708 -0.647398455097806 0.640497066110394 -0.00168100740178209 -0.689694339684688 -1.48408176420126 -0.465883369355819 3.84981087909802 0.5 -0.982633091346495 9.60955163092972 4.95108870723135 2.49511125861569 7.40706615584702 6.20783179101213 3.92950407575369 8.48615950627057 5.65806997084936
