"alpha1" "beta1" "alpha2" "beta2"
"246" 6 2.5 6 75
"247" 6 2.5 6 80
"248" 6 2.5 6 85
"249" 6 2.5 6 90
"250" 6 2.5 6 95
"251" 6 2.5 6 100
"252" 6 2.5 6 105
"253" 6 2.5 6 110
"254" 6 2.5 6 115
"255" 6 2.5 6 120
"256" 6 2.5 6 125
"257" 6 2.5 7 60
"258" 6 2.5 7 66
"259" 6 2.5 7 72
"260" 6 2.5 7 78
"261" 6 2.5 7 84
"262" 6 2.5 7 90
"263" 6 2.5 7 96
"264" 6 2.5 7 102
"265" 6 2.5 7 108
"266" 6 2.5 7 114
"267" 6 2.5 7 120
"268" 6 2.5 7 126
"269" 6 2.5 7 132
"270" 6 2.5 7 138
"271" 6 2.5 7 144
"272" 6 2.5 7 150
"273" 6 2.5 8 70
"274" 6 2.5 8 77
"275" 6 2.5 8 84
"276" 6 2.5 8 91
"277" 6 2.5 8 98
"278" 6 2.5 8 105
"279" 6 2.5 8 112
"280" 6 2.5 8 119
"281" 6 2.5 8 126
"282" 6 2.5 8 133
"283" 6 2.5 8 140
"284" 6 2.5 8 147
"285" 6 2.5 8 154
"286" 6 2.5 8 161
"287" 6 2.5 8 168
"288" 6 2.5 8 175
"289" 7 3 3 20
"290" 7 3 3 22
"291" 7 3 3 24
"292" 7 3 3 26
"293" 7 3 3 28
"294" 7 3 3 30
"295" 7 3 3 32
"296" 7 3 3 34
"297" 7 3 3 36
"298" 7 3 3 38
"299" 7 3 3 40
"300" 7 3 3 42
"301" 7 3 3 44
"302" 7 3 3 46
"303" 7 3 3 48
"304" 7 3 3 50
"305" 8 3.5 4 30
"306" 8 3.5 4 33
"307" 8 3.5 4 36
"308" 8 3.5 4 39
"309" 8 3.5 4 42
"310" 8 3.5 4 45
"311" 8 3.5 4 48
"312" 8 3.5 4 51
"313" 8 3.5 4 54
"314" 8 3.5 4 57
"315" 8 3.5 4 60
"316" 8 3.5 4 63
"317" 8 3.5 4 66
"318" 8 3.5 4 69
"319" 8 3.5 4 72
"320" 8 3.5 4 75
"321" 9 4 5 40
"322" 9 4 5 44
"323" 9 4 5 48
"324" 9 4 5 52
"325" 9 4 5 56
"326" 9 4 5 60
"327" 9 4 5 64
"328" 9 4 5 68
"329" 9 4 5 72
"330" 9 4 5 76
"331" 9 4 5 80
"332" 9 4 5 84
"333" 9 4 5 88
"334" 9 4 5 92
"335" 9 4 5 96
"336" 9 4 5 100
"337" 7 3 4 30
"338" 7 3 4 33
"339" 7 3 4 36
"340" 7 3 4 39
"341" 7 3 4 42
"342" 7 3 4 45
"343" 7 3 4 48
"344" 7 3 4 51
"345" 7 3 4 54
"346" 7 3 4 57
"347" 7 3 4 60
"348" 7 3 4 63
"349" 7 3 4 66
"350" 7 3 4 69
"351" 7 3 4 72
"352" 7 3 4 75
"353" 8 3.5 5 40
"354" 8 3.5 5 44
"355" 8 3.5 5 48
"356" 8 3.5 5 52
"357" 8 3.5 5 56
"358" 8 3.5 5 60
"359" 8 3.5 5 64
"360" 8 3.5 5 68
"361" 8 3.5 5 72
"362" 8 3.5 5 76
"363" 8 3.5 5 80
"364" 8 3.5 5 84
"365" 8 3.5 5 88
"366" 8 3.5 5 92
"367" 8 3.5 5 96
"368" 8 3.5 5 100
"369" 9 4 6 50
"370" 9 4 6 55
"371" 9 4 6 60
"372" 9 4 6 65
"373" 9 4 6 70
"374" 9 4 6 75
"375" 9 4 6 80
"376" 9 4 6 85
"377" 9 4 6 90
"378" 9 4 6 95
"379" 9 4 6 100
"380" 9 4 6 105
"381" 9 4 6 110
"382" 9 4 6 115
"383" 9 4 6 120
"384" 9 4 6 125
"385" 7 3 5 40
"386" 7 3 5 44
"387" 7 3 5 48
"388" 7 3 5 52
"389" 7 3 5 56
"390" 7 3 5 60
"391" 7 3 5 64
"392" 7 3 5 68
"393" 7 3 5 72
"394" 7 3 5 76
"395" 7 3 5 80
"396" 7 3 5 84
"397" 7 3 5 88
"398" 7 3 5 92
"399" 7 3 5 96
"400" 7 3 5 100
"401" 8 3.5 6 50
"402" 8 3.5 6 55
"403" 8 3.5 6 60
"404" 8 3.5 6 65
"405" 8 3.5 6 70
"406" 8 3.5 6 75
"407" 8 3.5 6 80
"408" 8 3.5 6 85
"409" 8 3.5 6 90
"410" 8 3.5 6 95
"411" 8 3.5 6 100
"412" 8 3.5 6 105
"413" 8 3.5 6 110
"414" 8 3.5 6 115
"415" 8 3.5 6 120
"416" 8 3.5 6 125
"417" 9 4 7 60
"418" 9 4 7 66
"419" 9 4 7 72
"420" 9 4 7 78
"421" 9 4 7 84
"422" 9 4 7 90
"423" 9 4 7 96
"424" 9 4 7 102
"425" 9 4 7 108
"426" 9 4 7 114
"427" 9 4 7 120
"428" 9 4 7 126
"429" 9 4 7 132
"430" 9 4 7 138
"431" 9 4 7 144
"432" 9 4 7 150
"433" 7 3 6 50
"434" 7 3 6 55
"435" 7 3 6 60
"436" 7 3 6 65
"437" 7 3 6 70
"438" 7 3 6 75
"439" 7 3 6 80
"440" 7 3 6 85
"441" 7 3 6 90
"442" 7 3 6 95
"443" 7 3 6 100
"444" 7 3 6 105
"445" 7 3 6 110
"446" 7 3 6 115
"447" 7 3 6 120
"448" 7 3 6 125
"449" 8 3.5 7 60
"450" 8 3.5 7 66
"451" 8 3.5 7 72
"452" 8 3.5 7 78
"453" 8 3.5 7 84
"454" 8 3.5 7 90
"455" 8 3.5 7 96
"456" 8 3.5 7 102
"457" 8 3.5 7 108
"458" 8 3.5 7 114
"459" 8 3.5 7 120
"460" 8 3.5 7 126
"461" 8 3.5 7 132
"462" 8 3.5 7 138
"463" 8 3.5 7 144
"464" 8 3.5 7 150
"465" 9 4 8 70
"466" 9 4 8 77
"467" 9 4 8 84
"468" 9 4 8 91
"469" 9 4 8 98
"470" 9 4 8 105
"471" 9 4 8 112
"472" 9 4 8 119
"473" 9 4 8 126
"474" 9 4 8 133
"475" 9 4 8 140
"476" 9 4 8 147
"477" 9 4 8 154
"478" 9 4 8 161
"479" 9 4 8 168
"480" 9 4 8 175
"481" 7 3 7 60
"482" 7 3 7 66
"483" 7 3 7 72
"484" 7 3 7 78
"485" 7 3 7 84
"486" 7 3 7 90
"487" 7 3 7 96
"488" 7 3 7 102
"489" 7 3 7 108
"490" 7 3 7 114
"491" 7 3 7 120
"492" 7 3 7 126
"493" 7 3 7 132
"494" 7 3 7 138
"495" 7 3 7 144
"496" 7 3 7 150
"497" 8 3.5 8 70
"498" 8 3.5 8 77
"499" 8 3.5 8 84
"500" 8 3.5 8 91
"501" 8 3.5 8 98
"502" 8 3.5 8 105
"503" 8 3.5 8 112
"504" 8 3.5 8 119
"505" 8 3.5 8 126
"506" 8 3.5 8 133
"507" 8 3.5 8 140
"508" 8 3.5 8 147
"509" 8 3.5 8 154
"510" 8 3.5 8 161
"511" 8 3.5 8 168
"512" 8 3.5 8 175
"513" 9 4 9 80
"514" 9 4 9 88
"515" 9 4 9 96
"516" 9 4 9 104
"517" 9 4 9 112
"518" 9 4 9 120
"519" 9 4 9 128
"520" 9 4 9 136
"521" 9 4 9 144
"522" 9 4 9 152
"523" 9 4 9 160
"524" 9 4 9 168
"525" 9 4 9 176
"526" 9 4 9 184
"527" 9 4 9 192
"528" 9 4 9 200
"529" 7 3 8 70
"530" 7 3 8 77
"531" 7 3 8 84
"532" 7 3 8 91
"533" 7 3 8 98
"534" 7 3 8 105
"535" 7 3 8 112
"536" 7 3 8 119
"537" 7 3 8 126
"538" 7 3 8 133
"539" 7 3 8 140
"540" 7 3 8 147
"541" 7 3 8 154
"542" 7 3 8 161
"543" 7 3 8 168
"544" 7 3 8 175
"545" 8 3.5 9 80
"546" 8 3.5 9 88
"547" 8 3.5 9 96
"548" 8 3.5 9 104
"549" 8 3.5 9 112
"550" 8 3.5 9 120
"551" 8 3.5 9 128
"552" 8 3.5 9 136
"553" 8 3.5 9 144
"554" 8 3.5 9 152
"555" 8 3.5 9 160
"556" 8 3.5 9 168
"557" 8 3.5 9 176
"558" 8 3.5 9 184
"559" 8 3.5 9 192
"560" 8 3.5 9 200
"561" 9 4 10 90
"562" 9 4 10 99
"563" 9 4 10 108
"564" 9 4 10 117
"565" 9 4 10 126
"566" 9 4 10 135
"567" 9 4 10 144
"568" 9 4 10 153
"569" 9 4 10 162
"570" 9 4 10 171
"571" 9 4 10 180
"572" 9 4 10 189
"573" 9 4 10 198
"574" 9 4 10 207
"575" 9 4 10 216
"576" 9 4 10 225
"577" 7 3 9 80
"578" 7 3 9 88
"579" 7 3 9 96
"580" 7 3 9 104
"581" 7 3 9 112
"582" 7 3 9 120
"583" 7 3 9 128
"584" 7 3 9 136
"585" 7 3 9 144
"586" 7 3 9 152
"587" 7 3 9 160
"588" 7 3 9 168
"589" 7 3 9 176
"590" 7 3 9 184
"591" 7 3 9 192
"592" 7 3 9 200
"593" 8 3.5 10 90
"594" 8 3.5 10 99
"595" 8 3.5 10 108
"596" 8 3.5 10 117
"597" 8 3.5 10 126
"598" 8 3.5 10 135
"599" 8 3.5 10 144
"600" 8 3.5 10 153
"601" 8 3.5 10 162
"602" 8 3.5 10 171
"603" 8 3.5 10 180
"604" 8 3.5 10 189
"605" 8 3.5 10 198
"606" 8 3.5 10 207
"607" 8 3.5 10 216
"608" 8 3.5 10 225
"609" 9 4 11 100
"610" 9 4 11 110
"611" 9 4 11 120
"612" 9 4 11 130
"613" 9 4 11 140
"614" 9 4 11 150
"615" 9 4 11 160
"616" 9 4 11 170
"617" 9 4 11 180
"618" 9 4 11 190
"619" 9 4 11 200
"620" 9 4 11 210
"621" 9 4 11 220
"622" 9 4 11 230
"623" 9 4 11 240
"624" 9 4 11 250
